pc_time,esp_time,rssi,channel,csi_len,cs0,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cs11,cs12,cs13,cs14,cs15,cs16,cs17,cs18,cs19,cs20,cs21,cs22,cs23,cs24,cs25,cs26,cs27,cs28,cs29,cs30,cs31,cs32,cs33,cs34,cs35,cs36,cs37,cs38,cs39,cs40,cs41,cs42,cs43,cs44,cs45,cs46,cs47,cs48,cs49,cs50,cs51,cs52,cs53,cs54,cs55,cs56,cs57,cs58,cs59,cs60,cs61,cs62,cs63,cs64,cs65,cs66,cs67,cs68,cs69,cs70,cs71,cs72,cs73,cs74,cs75,cs76,cs77,cs78,cs79,cs80,cs81,cs82,cs83,cs84,cs85,cs86,cs87,cs88,cs89,cs90,cs91,cs92,cs93,cs94,cs95,cs96,cs97,cs98,cs99,cs100,cs101,cs102,cs103,cs104,cs105,cs106,cs107,cs108,cs109,cs110,cs111,cs112,cs113,cs114,cs115,cs116,cs117,cs118,cs119,cs120,cs121,cs122,cs123,cs124,cs125,cs126,cs127,cs128,cs129,cs130,cs131,cs132,cs133,cs134,cs135,cs136,cs137,cs138,cs139,cs140,cs141,cs142,cs143,cs144,cs145,cs146,cs147,cs148,cs149,cs150,cs151,cs152,cs153,cs154,cs155,cs156,cs157,cs158,cs159,cs160,cs161,cs162,cs163,cs164,cs165,cs166,cs167,cs168,cs169,cs170,cs171,cs172,cs173,cs174,cs175,cs176,cs177,cs178,cs179,cs180,cs181,cs182,cs183,cs184,cs185,cs186,cs187,cs188,cs189,cs190,cs191,cs192,cs193,cs194,cs195,cs196,cs197,cs198,cs199,cs200,cs201,cs202,cs203,cs204,cs205,cs206,cs207,cs208,cs209,cs210,cs211,cs212,cs213,cs214,cs215,cs216,cs217,cs218,cs219,cs220,cs221,cs222,cs223,cs224,cs225,cs226,cs227,cs228,cs229,cs230,cs231,cs232,cs233,cs234,cs235,cs236,cs237,cs238,cs239,cs240,cs241,cs242,cs243,cs244,cs245,cs246,cs247,cs248,cs249,cs250,cs251,cs252,cs253,cs254,cs255
2026-07-09T12:11:08.676,109114,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,4,3,4,3,4,4,3,4,3,5,3,5,3,5,3,6,3,6,3,6,3,7,3,7,3,7,2,7,2,7,2,8,2,8,2,8,1,8,1,9,1,9,1,9,1,9,0,9,0,0,0,9,1,9,1,8,0,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,2,8,2,8,2,7,3,8,3,8,3,8,3,8,3,8,4,8,4,8,4,8,5,8,5,8,5,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,-55,37,-55,40,-54,42,-52,41,-54,41,-54,38,-55,39,-50,39,-50,38,-49,40,-49,38,-48,39,-50,35,-49,35,-47,37,-49,35,-46,33,-48,32,-48,32,-47,34,-49,28,-45,26,-49,29,-49,33,-43,29,-47,29,-48,29,-48,28,-46,30,-48,29,-48,31,-47,28,-48,30,-46,33,-45,32,-43,32,-41,37,-41,37,-40,37,-40,37,-38,39,-34,37,-37,37,-33,36,-31,39,-30,41,-28,40,-22,38,-22,39,-21,42,-16,40,-11,38,-10,36,-10,36,-6,36,-3,39,-3,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:08.714,109122,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,3,-4,4,-4,4,-4,5,-3,5,-3,5,-3,6,-3,6,-3,6,-3,7,-2,7,-2,7,-2,7,-2,8,-2,8,-2,8,-2,8,-1,9,-1,9,-1,9,0,9,0,9,0,9,0,9,0,9,0,0,0,9,0,8,0,9,1,8,0,8,0,8,0,8,0,8,0,8,0,8,-1,8,-1,9,-1,8,-1,8,-2,8,-2,9,-2,9,-2,8,-3,9,-3,9,-3,9,-3,9,-3,9,-4,9,-4,9,-4,9,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-66,-15,-64,-15,-72,-11,-64,-16,-60,-16,-69,-14,-60,-17,-67,-13,-58,-13,-65,-13,-61,-17,-60,-12,-61,-15,-54,-17,-58,-18,-56,-20,-58,-21,-54,-19,-58,-16,-51,-22,-58,-17,-52,-23,-57,-22,-52,-21,-55,-23,-54,-21,-51,-24,-52,-23,-52,-24,-52,-25,-52,-24,-60,-21,-49,-24,-57,-24,-49,-20,-57,-20,-54,-16,-56,-12,-54,-10,-55,-10,-50,-9,-52,-12,-51,-9,-53,-4,-55,-4,-48,1,-51,-2,-44,2,-47,5,-44,9,-42,11,-43,12,-40,10,-37,14,-35,18,-37,18,-35,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:08.840,109124,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,4,-3,4,-3,5,-3,5,-2,5,-2,6,-2,6,-2,6,-2,6,-2,7,-1,7,-1,7,0,8,0,8,-1,8,0,8,0,8,0,8,0,9,0,8,0,9,1,9,1,8,2,8,2,8,2,0,0,8,2,8,2,8,2,8,1,8,1,8,1,8,1,8,0,8,0,8,1,8,0,8,0,8,0,8,0,8,-1,8,-1,9,-1,9,-1,9,-2,9,-3,9,-3,9,-3,9,-3,10,-3,10,-3,10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-39,-56,-43,-56,-38,-56,-40,-58,-43,-49,-35,-59,-42,-48,-38,-58,-43,-51,-37,-55,-34,-54,-33,-53,-36,-56,-34,-49,-34,-53,-34,-49,-33,-55,-31,-49,-29,-55,-31,-49,-24,-54,-27,-49,-26,-51,-23,-53,-23,-54,-23,-56,-25,-56,-24,-53,-25,-51,-26,-50,-23,-51,-21,-56,-28,-49,-26,-58,-28,-48,-27,-53,-28,-50,-29,-49,-33,-47,-31,-46,-35,-42,-33,-41,-35,-39,-32,-38,-29,-40,-35,-36,-35,-35,-38,-30,-36,-29,-34,-27,-36,-27,-34,-23,-36,-22,-38,-16,-38,-10,-38,-9,-35,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:08.944,109130,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-6,0,-7,-1,-7,-1,-7,-2,-7,-2,-7,-2,-8,-2,-8,-3,-8,-3,-8,-4,-8,-4,-8,-4,-9,-5,-9,-5,-9,-5,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-9,-7,-9,-7,-8,-7,-8,-7,-8,-7,0,0,-8,-8,-8,-8,-8,-8,-8,-7,-8,-7,-8,-7,-8,-7,-8,-6,-8,-6,-8,-6,-9,-6,-9,-6,-9,-6,-9,-5,-9,-5,-9,-5,-10,-5,-10,-5,-10,-4,-10,-4,-11,-4,-11,-4,-11,-4,-11,-4,-12,-4,-12,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,12,-27,9,-29,8,-29,8,-33,5,-34,4,-37,3,-37,3,-38,0,-40,-3,-41,-3,-43,-6,-43,-7,-46,-8,-45,-10,-47,-15,-47,-15,-50,-17,-51,-18,-50,-21,-49,-22,-47,-22,-49,-25,-48,-26,-51,-27,-49,-28,-49,-29,-48,-29,0,0,-48,-29,-47,-30,-46,-28,-47,-30,-46,-28,-47,-29,-47,-27,-46,-25,-47,-24,-48,-25,-47,-23,-47,-23,-49,-21,-51,-18,-51,-18,-52,-16,-53,-16,-53,-14,-53,-13,-56,-10,-58,-10,-61,-10,-60,-9,-61,-10,-62,-8,-64,-7,-63,-4,-66,-7,0,0,0,0,0,0
2026-07-09T12:11:09.065,109136,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-5,2,-6,2,-6,2,-6,1,-6,1,-7,1,-7,1,-7,1,-8,0,-8,0,-8,0,-9,0,-9,0,-9,-1,-9,-1,-9,-1,-9,-1,-10,-2,-10,-2,-10,-3,-10,-2,-10,-3,-10,-3,-10,-3,-10,-3,0,0,-10,-3,-10,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-2,-9,-2,-9,-2,-10,-1,-9,-1,-9,-1,-9,-1,-10,0,-10,0,-10,0,-10,0,-10,0,-10,1,-10,1,-10,1,-10,2,-11,2,-11,2,-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,43,57,39,55,34,56,43,57,35,53,40,56,33,53,37,55,36,49,36,52,36,51,36,52,40,49,33,49,38,47,40,46,38,46,36,42,39,45,32,42,34,44,39,39,43,39,40,38,39,39,43,38,41,42,40,38,41,37,39,39,38,39,41,44,37,40,37,44,37,39,35,42,37,45,37,44,31,42,31,45,28,44,25,44,24,48,18,45,20,49,14,41,14,47,12,42,9,42,9,43,5,44,3,39,2,43,-1,38,-5,36,-8,37,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:09.145,109145,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-5,-2,-6,-3,-6,-3,-6,-3,-6,-4,-6,-4,-6,-4,-6,-4,-6,-5,-6,-5,-6,-6,-6,-6,-6,-6,-6,-7,-6,-7,-6,-7,-6,-8,-6,-8,-6,-8,-5,-8,-6,-8,-5,-9,-5,-9,-5,-9,-5,-9,0,0,-5,-9,-5,-9,-5,-8,-5,-9,-5,-8,-5,-9,-5,-8,-5,-8,-5,-8,-6,-8,-6,-7,-6,-8,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-7,-8,-7,-9,-7,-9,-7,-9,-6,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,69,-2,68,1,68,-2,70,-2,61,0,67,-2,59,1,67,-5,59,-3,65,-4,63,-2,63,0,64,-3,62,-2,60,3,59,2,57,5,53,5,61,4,55,4,59,5,57,9,55,5,53,6,53,4,58,5,62,5,57,4,57,3,55,5,53,4,58,4,52,4,61,1,55,2,57,-1,59,-3,54,-5,55,-9,58,-9,57,-8,49,-10,48,-14,43,-16,51,-13,44,-18,49,-20,40,-19,41,-21,36,-23,35,-22,33,-25,32,-28,28,-30,23,-29,19,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:09.238,109148,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-4,4,-5,3,-4,3,-5,3,-5,3,-6,3,-6,3,-7,3,-7,3,-7,3,-8,3,-8,2,-8,2,-8,2,-9,2,-9,2,-9,2,-9,2,-10,1,-10,1,-10,1,-10,1,-10,0,-10,0,-10,0,0,0,-10,0,-10,0,-9,0,-9,0,-9,0,-10,0,-9,0,-9,1,-9,1,-9,2,-9,1,-9,2,-9,2,-9,2,-9,3,-9,3,-9,3,-9,3,-9,4,-9,4,-10,4,-9,4,-9,5,-9,5,-10,5,-9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,45,49,45,48,45,46,46,50,48,47,43,51,47,44,42,46,43,45,42,48,41,45,42,43,40,42,39,46,39,45,37,47,39,46,36,43,37,46,33,45,31,41,34,47,30,44,33,42,33,44,33,46,31,47,34,50,27,48,33,46,27,43,34,47,35,45,33,46,34,44,34,43,40,42,40,38,40,35,39,36,36,35,39,33,40,31,40,29,38,29,42,26,40,22,40,20,40,16,41,16,44,13,39,9,40,9,39,5,37,3,39,-2,33,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:09.324,109153,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-5,2,-6,1,-6,1,-6,1,-7,1,-7,1,-7,0,-8,0,-8,0,-8,0,-8,-1,-9,-1,-9,-1,-9,-1,-9,-2,-10,-2,-9,-2,-10,-3,-10,-3,-10,-3,-9,-3,-10,-3,-10,-4,-10,-4,-10,-4,0,0,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-3,-9,-4,-9,-3,-9,-3,-9,-3,-9,-2,-10,-2,-9,-2,-10,-2,-10,-2,-10,-1,-10,-1,-10,-1,-10,-1,-11,-1,-11,0,-11,0,-11,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,8,-8,7,-10,7,-12,6,-12,7,-13,6,-14,6,-15,6,-15,4,-15,5,-18,4,-16,4,-18,2,-18,2,-20,1,-21,1,-22,1,-21,0,-22,-1,-22,-1,-22,-1,-24,-2,-22,-3,-24,-4,-23,-5,-23,-6,-24,-6,-23,-5,0,0,-23,-5,-24,-7,-23,-6,-21,-6,-21,-5,-23,-4,-22,-5,-21,-2,-23,-5,-20,-2,-21,-4,-22,-3,-22,-3,-24,-2,-21,0,-22,0,-23,1,-23,3,-24,1,-23,4,-26,2,-23,4,-25,5,-26,4,-26,7,-25,7,-28,5,-28,7,0,0,0,0,0,0
2026-07-09T12:11:09.402,109159,-51,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-5,-4,-5,-3,-6,-3,-6,-3,-6,-2,-7,-2,-7,-2,-7,-2,-7,-2,-8,-2,-8,-2,-8,-2,-9,-2,-9,-1,-9,-1,-9,-1,-10,0,-10,0,-10,0,-10,1,-10,1,-10,0,-10,1,-10,1,-10,0,0,1,-10,1,-10,1,-9,1,-10,1,-9,1,-9,1,-9,0,-9,1,-9,0,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-10,-1,-10,-2,-10,-2,-10,-2,-10,-2,-10,-3,-10,-3,-10,-4,-10,-4,-10,-4,-11,-4,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,13,-63,12,-66,14,-69,11,-68,12,-70,12,-65,14,-67,13,-62,12,-65,10,-64,8,-62,6,-64,9,-59,11,-58,13,-61,15,-61,13,-55,17,-56,15,-53,16,-59,16,-54,15,-54,19,-53,16,-57,12,-54,17,-54,14,-52,20,-53,19,-55,18,-54,21,-58,18,-50,17,-53,16,-55,15,-54,12,-56,11,-59,6,-56,5,-59,5,-56,7,-53,6,-53,4,-51,2,-51,-3,-50,1,-50,-5,-46,-6,-47,-8,-44,-11,-41,-16,-39,-17,-37,-16,-36,-16,-36,-17,-33,-21,-30,-24,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:11:09.549,109166,-52,1,256,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,4,-3,5,-2,5,-2,5,-2,6,-1,6,-1,6,-1,6,-1,7,0,7,0,7,0,7,1,8,1,8,1,8,1,8,2,8,2,8,2,8,3,8,3,8,3,8,3,8,3,8,4,8,4,0,0,8,4,8,3,8,4,8,3,8,3,8,3,8,3,8,3,8,3,8,2,8,2,8,2,8,2,8,2,8,1,9,1,9,1,9,1,9,0,9,0,9,0,10,0,10,0,10,-1,10,-1,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-59,-33,-64,-30,-57,-31,-61,-31,-67,-27,-60,-34,-64,-27,-60,-31,-61,-27,-53,-31,-59,-32,-55,-32,-53,-34,-58,-23,-54,-29,-54,-28,-54,-31,-50,-32,-45,-32,-50,-29,-47,-36,-51,-35,-45,-38,-43,-35,-45,-33,-44,-35,-49,-34,-49,-35,-46,-31,-48,-32,-46,-33,-42,-34,-51,-31,-47,-33,-48,-28,-43,-33,-50,-33,-46,-30,-47,-27,-49,-29,-48,-22,-48,-18,-48,-18,-50,-14,-45,-18,-47,-15,-43,-12,-47,-7,-43,-9,-44,-6,-45,-6,-42,-1,-44,1,-43,7,-39,8,-37,10,-33,0,0,0,0,0,0,0,0,0,0
