pc_time,esp_time,rssi,channel,csi_len,cs0,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cs11,cs12,cs13,cs14,cs15,cs16,cs17,cs18,cs19,cs20,cs21,cs22,cs23,cs24,cs25,cs26,cs27,cs28,cs29,cs30,cs31,cs32,cs33,cs34,cs35,cs36,cs37,cs38,cs39,cs40,cs41,cs42,cs43,cs44,cs45,cs46,cs47,cs48,cs49,cs50,cs51,cs52,cs53,cs54,cs55,cs56,cs57,cs58,cs59,cs60,cs61,cs62,cs63,cs64,cs65,cs66,cs67,cs68,cs69,cs70,cs71,cs72,cs73,cs74,cs75,cs76,cs77,cs78,cs79,cs80,cs81,cs82,cs83,cs84,cs85,cs86,cs87,cs88,cs89,cs90,cs91,cs92,cs93,cs94,cs95,cs96,cs97,cs98,cs99,cs100,cs101,cs102,cs103,cs104,cs105,cs106,cs107,cs108,cs109,cs110,cs111,cs112,cs113,cs114,cs115,cs116,cs117,cs118,cs119,cs120,cs121,cs122,cs123,cs124,cs125,cs126,cs127,cs128,cs129,cs130,cs131,cs132,cs133,cs134,cs135,cs136,cs137,cs138,cs139,cs140,cs141,cs142,cs143,cs144,cs145,cs146,cs147,cs148,cs149,cs150,cs151,cs152,cs153,cs154,cs155,cs156,cs157,cs158,cs159,cs160,cs161,cs162,cs163,cs164,cs165,cs166,cs167,cs168,cs169,cs170,cs171,cs172,cs173,cs174,cs175,cs176,cs177,cs178,cs179,cs180,cs181,cs182,cs183,cs184,cs185,cs186,cs187,cs188,cs189,cs190,cs191,cs192,cs193,cs194,cs195,cs196,cs197,cs198,cs199,cs200,cs201,cs202,cs203,cs204,cs205,cs206,cs207,cs208,cs209,cs210,cs211,cs212,cs213,cs214,cs215,cs216,cs217,cs218,cs219,cs220,cs221,cs222,cs223,cs224,cs225,cs226,cs227,cs228,cs229,cs230,cs231,cs232,cs233,cs234,cs235,cs236,cs237,cs238,cs239,cs240,cs241,cs242,cs243,cs244,cs245,cs246,cs247,cs248,cs249,cs250,cs251,cs252,cs253,cs254,cs255
2026-07-09T12:01:41.547,1654869,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,2,-4,2,-4,3,-4,3,-4,3,-4,3,-4,3,-4,4,-4,4,-4,5,-4,5,-4,5,-4,5,-4,5,-5,6,-5,6,-4,6,-5,7,-4,7,-4,7,-4,7,-4,8,-4,8,-3,8,-3,8,-3,0,0,8,-4,8,-3,8,-3,8,-3,8,-3,8,-4,8,-4,8,-4,8,-4,8,-4,8,-4,8,-4,8,-4,8,-5,8,-5,8,-5,8,-6,8,-6,8,-6,8,-7,9,-7,9,-7,9,-7,9,-7,10,-7,9,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,-47,-55,-53,-52,-48,-53,-47,-53,-50,-47,-45,-51,-49,-46,-44,-51,-47,-45,-42,-49,-42,-47,-40,-44,-36,-47,-41,-45,-38,-43,-35,-44,-35,-42,-32,-42,-28,-48,-29,-44,-25,-49,-26,-47,-22,-48,-22,-48,-21,-48,-18,-52,-23,-52,-23,-49,-22,-50,-20,-51,-20,-50,-17,-54,-17,-50,-16,-58,-18,-51,-20,-52,-19,-52,-19,-53,-23,-50,-20,-52,-24,-49,-25,-45,-27,-45,-24,-40,-24,-47,-27,-43,-24,-43,-29,-39,-27,-40,-26,-38,-27,-37,-29,-34,-29,-32,-31,-26,-34,-25,-34,-23,-33,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.571,1654876,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-5,-2,-5,-2,-5,-3,-5,-3,-5,-3,-5,-3,-5,-3,-5,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-6,-7,-6,-7,-6,-7,-5,-8,-5,-8,-5,-9,-5,-8,0,0,-5,-8,-5,-9,-5,-8,-5,-8,-5,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-7,-8,-7,-8,-8,-8,-8,-8,-8,-8,-8,-8,-9,-8,-9,-8,-10,-8,-9,-9,-9,-9,-9,-9,-10,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,63,-35,68,-30,60,-33,62,-36,65,-30,56,-35,63,-29,55,-30,61,-28,51,-29,55,-27,56,-27,54,-24,56,-26,52,-22,52,-21,52,-18,48,-14,48,-17,54,-13,47,-13,54,-8,49,-6,51,-6,51,-5,50,-5,55,-3,53,-3,51,-4,53,-3,53,-2,49,-2,57,-2,50,-1,60,-4,52,-2,54,-3,55,-3,56,-7,52,-9,57,-9,54,-11,51,-10,49,-9,45,-12,52,-12,45,-13,50,-14,43,-14,45,-14,44,-16,42,-18,41,-21,42,-22,37,-26,34,-27,31,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.595,1654881,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,-4,-3,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-4,-6,-4,-6,-4,-7,-5,-7,-5,-7,-4,-7,-5,-7,-4,-8,-5,-8,-5,-8,-5,-8,-4,-9,-4,-9,-3,-9,-4,-9,0,0,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-5,-9,-5,-9,-5,-9,-5,-9,-4,-9,-5,-9,-5,-9,-5,-9,-6,-9,-6,-8,-7,-9,-7,-9,-7,-8,-8,-8,-8,-9,-9,-9,-8,-10,-8,-10,-8,-10,-8,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,60,-41,65,-35,57,-35,61,-40,62,-33,52,-36,63,-31,51,-34,60,-31,50,-30,57,-27,56,-26,53,-28,55,-29,49,-27,51,-24,50,-20,48,-17,46,-18,54,-13,45,-13,53,-10,48,-6,52,-6,50,-4,51,-7,54,-7,53,-7,51,-8,53,-8,51,-4,49,-2,58,0,48,-3,60,-3,51,-1,54,-1,58,-2,55,-3,53,-8,58,-9,52,-10,51,-11,50,-7,44,-11,54,-9,42,-12,50,-12,43,-12,44,-12,45,-14,42,-14,41,-21,43,-23,36,-25,33,-26,30,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.619,1654887,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-5,1,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-6,3,-5,4,-5,4,-5,4,-5,4,-6,4,-6,5,-6,5,-6,5,-6,5,-6,6,-6,6,-6,6,-6,7,-6,7,-5,7,-5,7,-5,0,0,7,-6,7,-6,7,-5,7,-6,7,-6,7,-6,7,-6,7,-7,7,-6,7,-7,7,-6,7,-6,7,-6,7,-7,7,-8,6,-8,7,-8,7,-8,6,-9,6,-9,6,-10,6,-10,7,-10,8,-10,8,-10,7,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,-27,-70,-31,-61,-27,-66,-26,-70,-30,-58,-26,-67,-28,-55,-24,-65,-27,-55,-24,-60,-20,-59,-18,-56,-18,-58,-21,-54,-19,-54,-18,-54,-17,-52,-16,-48,-10,-56,-10,-49,-8,-55,-7,-50,-5,-54,-3,-52,1,-52,0,-57,1,-53,-2,-53,0,-53,1,-53,1,-51,3,-57,3,-50,2,-60,4,-50,1,-54,3,-55,5,-54,3,-56,3,-58,0,-53,-3,-51,-4,-50,-5,-45,-4,-55,-5,-48,-7,-51,-8,-44,-8,-48,-6,-47,-6,-46,-9,-44,-12,-43,-16,-38,-19,-38,-21,-33,-20,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.646,1654893,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-3,-4,-3,-4,-3,-5,-3,-5,-2,-5,-2,-5,-2,-6,-2,-6,-2,-6,-1,-7,-2,-7,-2,-7,-2,-7,-2,-8,-1,-8,-1,-8,-1,-8,-1,-9,-1,-9,0,-9,0,-9,0,-9,1,-9,1,-9,1,-10,0,0,1,-9,1,-10,1,-9,1,-10,1,-9,1,-10,1,-9,0,-10,1,-9,1,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-11,-1,-11,-1,-11,-1,-11,-1,-12,-2,-12,-1,-12,-1,-13,-1,-13,-1,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,6,-77,7,-69,8,-74,6,-75,4,-68,6,-72,5,-65,6,-69,5,-64,6,-68,7,-63,10,-62,10,-62,10,-61,8,-57,11,-56,11,-53,13,-52,13,-56,17,-49,16,-54,18,-49,22,-49,21,-48,22,-47,23,-50,26,-49,25,-47,27,-50,28,-49,27,-48,27,-50,29,-46,26,-54,30,-47,26,-49,26,-49,27,-52,25,-50,24,-55,24,-51,23,-48,21,-49,18,-46,17,-52,17,-48,13,-51,13,-48,13,-48,12,-48,11,-47,9,-45,6,-46,4,-45,1,-45,-3,-42,-6,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.674,1654899,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,4,-1,4,-1,4,-1,5,-1,5,-2,5,-2,5,-2,5,-2,5,-2,5,-2,5,-3,6,-3,6,-3,6,-4,7,-4,6,-4,7,-5,6,-5,7,-6,7,-6,6,-6,7,-6,7,-6,7,-6,7,0,0,-7,6,-7,7,-7,6,-7,6,-6,6,-7,6,-7,6,-6,7,-7,6,-6,7,-6,8,-6,8,-5,8,-6,8,-6,8,-6,8,-6,9,-6,9,-6,9,-6,9,-6,9,-6,9,-6,10,-6,11,-6,11,-6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,40,61,40,58,36,58,41,61,39,54,36,60,38,53,35,55,37,51,32,53,33,53,30,50,31,52,29,50,26,52,23,49,22,47,20,47,18,52,20,48,18,50,17,50,13,49,13,48,14,49,12,53,10,51,11,51,7,55,7,56,6,52,8,56,8,50,8,56,10,52,10,54,9,54,10,53,10,54,12,55,13,51,15,49,13,49,15,46,16,49,18,44,17,44,19,41,18,42,21,41,21,39,20,37,23,36,25,32,26,32,29,28,29,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.705,1654904,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-3,3,-4,3,-4,3,-4,3,-4,3,-5,3,-5,3,-5,3,-5,3,-6,3,-6,3,-6,3,-7,3,-7,3,-8,3,-8,2,-8,2,-8,2,-9,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,1,0,0,-10,1,-10,1,-9,0,-10,1,-9,1,-10,0,-10,0,-10,1,-10,0,-10,1,-10,2,-10,2,-10,2,-10,2,-10,2,-10,2,-11,2,-11,3,-11,3,-11,3,-11,3,-11,3,-12,3,-12,4,-12,4,-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,69,22,70,21,72,16,71,19,68,21,67,19,68,17,65,17,65,17,61,17,60,17,57,18,59,20,55,20,55,20,52,22,53,24,52,23,51,23,47,24,48,24,46,30,46,29,47,27,45,29,45,30,42,33,45,35,42,34,42,35,43,34,43,33,43,34,46,34,45,33,45,30,46,34,48,30,47,29,47,30,46,27,45,28,46,25,48,23,45,23,46,21,46,20,46,18,45,16,44,15,45,13,45,9,44,8,42,5,43,2,43,-1,42,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.732,1654913,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-4,2,-4,2,-5,2,-5,2,-5,2,-5,2,-5,2,-6,2,-6,2,-6,2,-6,2,-7,2,-7,1,-7,2,-8,1,-8,1,-8,1,-9,1,-9,1,-9,1,-9,0,-9,0,-9,0,-9,0,-10,0,0,0,-10,-1,-10,-1,-10,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,0,-10,0,-9,0,-10,0,-10,0,-10,0,-11,1,-10,0,-11,1,-10,1,-11,1,-11,2,-11,2,-11,2,-12,2,-11,2,-12,2,-12,3,-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,67,-31,61,-36,65,-34,62,-33,60,-32,64,-30,57,-34,62,-30,55,-28,58,-28,53,-24,57,-27,56,-22,51,-22,49,-21,52,-21,53,-20,53,-16,55,-14,46,-14,55,-12,45,-10,53,-7,50,-8,52,-7,52,-4,47,-6,51,-4,53,-4,53,-2,56,-2,61,-5,51,-5,59,-2,50,-5,56,-4,53,-7,55,-6,55,-8,57,-9,50,-10,49,-11,51,-14,53,-12,55,-12,45,-16,49,-14,43,-14,45,-15,44,-18,41,-17,42,-22,41,-20,35,-23,34,-26,35,-27,32,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.761,1654918,-48,1,256,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,4,-1,4,0,4,0,4,0,4,0,4,1,5,1,5,1,5,1,5,1,5,1,6,2,6,2,6,3,6,3,6,3,6,3,7,4,6,4,6,5,6,5,6,5,7,5,6,5,6,5,0,0,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,7,5,7,5,7,4,8,5,8,5,7,5,8,5,8,4,9,5,8,5,9,5,9,5,9,5,10,4,10,5,10,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-59,46,-52,50,-60,48,-52,43,-50,48,-54,44,-50,49,-56,43,-48,44,-51,44,-47,41,-48,40,-45,34,-47,36,-49,35,-48,31,-49,28,-47,30,-50,28,-42,28,-51,25,-43,24,-49,22,-49,22,-48,20,-50,19,-49,17,-53,17,-54,18,-54,15,-50,17,-57,18,-50,20,-57,18,-49,21,-54,20,-56,24,-53,23,-54,25,-52,23,-47,23,-49,25,-48,26,-48,27,-49,26,-39,28,-44,25,-41,29,-42,29,-39,30,-37,29,-36,33,-32,30,-31,32,-28,35,-25,35,-23,0,0,0,0,0,0,0,0,0,0
2026-07-09T12:01:41.789,1654922,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-6,-3,-6,-3,-7,-4,-6,-4,-7,-4,-7,-4,-7,-5,-7,-5,-7,-5,-7,-6,-7,-6,-8,-7,-8,-7,-8,-8,-8,-8,-8,-9,-8,-9,-8,-10,-8,-10,-8,-10,-8,-11,-8,-10,-8,-11,-7,-11,-7,-11,0,0,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-8,-12,-8,-12,-8,-11,-8,-11,-8,-11,-9,-11,-9,-11,-9,-11,-10,-12,-10,-11,-10,-11,-11,-11,-11,-12,-11,-12,-12,-12,-12,-12,-13,-12,-13,-12,-13,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,-8,-21,-9,-22,-12,-21,-13,-22,-15,-22,-16,-23,-18,-23,-18,-23,-21,-23,-22,-23,-25,-24,-25,-22,-27,-24,-29,-24,-31,-24,-33,-25,-35,-25,-36,-24,-38,-26,-38,-23,-41,-24,-42,-22,-42,-24,-46,-22,-48,-20,-48,-20,-49,-19,-49,0,0,-19,-50,-19,-51,-21,-49,-18,-51,-19,-50,-19,-49,-20,-50,-21,-49,-23,-50,-21,-51,-21,-49,-22,-50,-25,-51,-25,-49,-30,-50,-30,-49,-32,-52,-33,-51,-34,-52,-36,-51,-36,-54,-39,-53,-39,-56,-39,-57,-40,-58,-40,-57,-42,-60,-42,-60,0,0,0,0,0,0
