pc_time,esp_time,rssi,channel,csi_len,cs0,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cs11,cs12,cs13,cs14,cs15,cs16,cs17,cs18,cs19,cs20,cs21,cs22,cs23,cs24,cs25,cs26,cs27,cs28,cs29,cs30,cs31,cs32,cs33,cs34,cs35,cs36,cs37,cs38,cs39,cs40,cs41,cs42,cs43,cs44,cs45,cs46,cs47,cs48,cs49,cs50,cs51,cs52,cs53,cs54,cs55,cs56,cs57,cs58,cs59,cs60,cs61,cs62,cs63,cs64,cs65,cs66,cs67,cs68,cs69,cs70,cs71,cs72,cs73,cs74,cs75,cs76,cs77,cs78,cs79,cs80,cs81,cs82,cs83,cs84,cs85,cs86,cs87,cs88,cs89,cs90,cs91,cs92,cs93,cs94,cs95,cs96,cs97,cs98,cs99,cs100,cs101,cs102,cs103,cs104,cs105,cs106,cs107,cs108,cs109,cs110,cs111,cs112,cs113,cs114,cs115,cs116,cs117,cs118,cs119,cs120,cs121,cs122,cs123,cs124,cs125,cs126,cs127,cs128,cs129,cs130,cs131,cs132,cs133,cs134,cs135,cs136,cs137,cs138,cs139,cs140,cs141,cs142,cs143,cs144,cs145,cs146,cs147,cs148,cs149,cs150,cs151,cs152,cs153,cs154,cs155,cs156,cs157,cs158,cs159,cs160,cs161,cs162,cs163,cs164,cs165,cs166,cs167,cs168,cs169,cs170,cs171,cs172,cs173,cs174,cs175,cs176,cs177,cs178,cs179,cs180,cs181,cs182,cs183,cs184,cs185,cs186,cs187,cs188,cs189,cs190,cs191,cs192,cs193,cs194,cs195,cs196,cs197,cs198,cs199,cs200,cs201,cs202,cs203,cs204,cs205,cs206,cs207,cs208,cs209,cs210,cs211,cs212,cs213,cs214,cs215,cs216,cs217,cs218,cs219,cs220,cs221,cs222,cs223,cs224,cs225,cs226,cs227,cs228,cs229,cs230,cs231,cs232,cs233,cs234,cs235,cs236,cs237,cs238,cs239,cs240,cs241,cs242,cs243,cs244,cs245,cs246,cs247,cs248,cs249,cs250,cs251,cs252,cs253,cs254,cs255
2026-07-09T11:34:32.311,52,29,-46,27,-49,33,-51,33,-51,33,-54,35,-61,37,-48,27,-62,34,-50,26,-60,31,-56,28,-59,26,-59,26,-63,22,-54,19,-56,20,-59,19,-57,17,-64,16,-49,8,-60,8,-47,7,-55,5,-51,1,-50,-2,-51,-2,-50,-5,-42,-5,-42,-7,-44,-12,-43,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.342,25576,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-2,4,-3,4,-3,3,-3,4,-3,4,-3,4,-4,4,-4,4,-4,4,-5,4,-5,4,-5,4,-5,4,-5,4,-6,5,-6,5,-6,5,-7,5,-7,5,-7,4,-7,5,-8,4,-8,4,-8,4,-8,4,0,0,-8,4,-8,4,-8,4,-8,5,-8,4,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-7,6,-8,7,-7,6,-8,7,-7,7,-7,7,-7,8,-8,8,-7,8,-8,8,-8,8,-8,9,-8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,70,18,61,14,65,12,67,14,59,14,67,14,56,13,64,14,56,10,60,7,60,5,59,4,61,5,57,7,56,6,57,4,55,3,51,-1,60,-2,52,-3,59,-5,53,-6,56,-10,56,-10,56,-11,61,-10,61,-7,57,-8,62,-9,62,-8,59,-10,65,-10,56,-8,69,-8,59,-6,63,-6,64,-8,62,-5,61,-3,66,1,60,4,58,6,57,8,52,7,59,9,50,9,54,12,47,12,50,13,48,13,47,16,42,16,42,21,37,24,34,25,30,26,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.366,25581,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-3,-4,-2,-4,-2,-5,-2,-5,-2,-5,-2,-5,-2,-6,-2,-6,-2,-6,-2,-6,-1,-7,-2,-7,-1,-7,-1,-8,-1,-8,-1,-8,0,-8,0,-8,0,-8,0,-9,0,-9,0,-9,1,-9,0,-9,1,-9,0,0,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,0,-9,1,-9,0,-9,0,-10,0,-9,0,-10,0,-10,0,-10,0,-10,-1,-10,-1,-11,-1,-11,-1,-11,-1,-11,-1,-11,-2,-11,-2,-12,-2,-12,-2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,-4,-66,-4,-63,-1,-66,-4,-68,-2,-63,-3,-64,-1,-59,0,-61,-2,-59,0,-61,1,-60,4,-59,4,-58,7,-57,6,-57,8,-56,9,-54,10,-53,11,-57,12,-53,11,-55,13,-51,17,-53,18,-54,17,-53,18,-55,21,-55,20,-55,23,-57,23,-57,22,-58,21,-59,20,-56,17,-63,17,-57,17,-61,17,-61,17,-58,15,-60,12,-62,13,-59,8,-56,9,-58,5,-53,3,-57,0,-52,-3,-53,-3,-50,-4,-50,-6,-50,-7,-47,-9,-45,-11,-44,-10,-41,-14,-40,-17,-37,-18,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.396,25587,-42,1,256,0,0,0,0,0,0,0,0,0,0,0,0,5,-3,6,-3,6,-2,7,-2,7,-2,7,-2,8,-1,8,-1,8,-1,9,-1,9,-1,9,0,10,0,10,0,11,1,11,1,11,2,11,2,12,2,12,3,12,3,12,4,12,3,12,4,12,4,12,4,0,0,12,5,12,5,12,5,12,5,13,5,12,5,12,5,13,4,13,5,13,4,13,4,13,3,14,3,14,3,14,3,15,3,14,3,15,3,15,3,16,3,16,2,16,3,16,2,17,2,17,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-7,9,-7,10,-6,11,-4,12,-4,13,-4,14,-3,15,-3,15,-2,15,-2,16,-1,17,-1,18,-1,18,0,19,0,20,1,21,2,21,3,22,3,22,4,23,5,23,6,23,7,23,7,23,7,24,7,24,8,24,9,0,0,24,10,24,10,24,10,24,10,24,9,24,10,24,10,24,9,25,9,25,8,26,7,26,7,27,7,27,7,27,6,28,6,28,6,29,5,30,6,30,6,31,5,32,5,32,4,33,3,33,3,34,4,34,2,35,2,0,0,0,0,0,0
2026-07-09T11:34:32.423,25595,-44,1,256,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,1,-4,2,-4,2,-4,2,-4,2,-5,3,-4,3,-4,3,-4,3,-4,4,-5,4,-5,4,-5,5,-5,5,-5,5,-4,6,-5,6,-4,6,-4,6,-4,7,-4,7,-4,7,-4,7,-4,7,-4,7,-4,0,0,8,-4,7,-3,8,-3,7,-3,7,-3,7,-4,8,-4,7,-4,8,-4,7,-4,7,-4,7,-5,7,-5,8,-5,7,-5,8,-5,7,-5,8,-6,8,-6,8,-6,8,-6,8,-6,8,-7,8,-7,8,-7,9,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,-65,-22,-58,-28,-68,-22,-62,-24,-54,-25,-65,-23,-54,-27,-65,-21,-53,-26,-60,-25,-54,-27,-54,-27,-53,-28,-46,-27,-49,-30,-51,-29,-49,-29,-48,-35,-53,-29,-42,-37,-52,-29,-41,-38,-49,-36,-43,-37,-45,-38,-44,-37,-40,-40,-47,-41,-46,-41,-45,-41,-48,-46,-52,-36,-44,-44,-55,-37,-46,-41,-55,-38,-52,-36,-52,-35,-53,-33,-55,-28,-49,-28,-52,-26,-54,-25,-53,-23,-59,-18,-49,-19,-60,-13,-46,-14,-53,-12,-49,-11,-49,-9,-49,-6,-47,-3,-42,1,-44,3,-44,6,-43,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.455,25603,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,2,-4,3,-4,3,-4,3,-4,3,-4,4,-4,4,-4,4,-4,5,-4,5,-3,6,-3,6,-3,6,-3,6,-3,6,-3,7,-3,7,-3,7,-3,7,-3,7,-3,8,-3,8,-2,8,-1,8,-2,8,-2,0,0,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-3,8,-3,8,-3,9,-3,9,-2,9,-2,9,-2,8,-3,9,-4,9,-4,9,-4,9,-4,9,-5,9,-5,9,-5,9,-6,10,-5,10,-5,10,-5,10,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,-47,-47,-53,-44,-46,-47,-48,-47,-49,-43,-42,-47,-49,-42,-42,-47,-45,-42,-40,-47,-38,-47,-36,-44,-36,-48,-38,-43,-37,-44,-35,-45,-35,-45,-34,-47,-29,-51,-32,-47,-27,-51,-28,-49,-26,-53,-23,-53,-22,-53,-22,-57,-23,-55,-27,-53,-27,-56,-25,-54,-26,-55,-23,-61,-28,-53,-26,-61,-28,-54,-30,-56,-27,-57,-29,-56,-30,-54,-31,-55,-36,-49,-36,-45,-40,-44,-38,-41,-34,-45,-39,-38,-35,-40,-40,-34,-37,-35,-37,-33,-36,-31,-37,-28,-38,-26,-42,-20,-41,-16,-41,-13,-40,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.497,25605,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-1,4,-1,4,-1,4,-2,4,-2,4,-2,5,-2,5,-3,5,-3,5,-3,5,-3,5,-3,5,-4,5,-4,5,-5,6,-5,6,-5,6,-5,6,-6,6,-6,6,-6,6,-7,6,-7,6,-7,5,-7,6,0,0,-7,5,-7,6,-7,5,-7,6,-7,5,-7,6,-7,6,-7,6,-7,6,-7,6,-7,6,-6,6,-7,7,-6,7,-7,7,-6,7,-7,7,-7,8,-7,8,-7,8,-7,8,-7,8,-7,9,-7,9,-7,9,-7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,31,58,32,55,30,55,33,48,30,44,28,46,29,42,26,44,28,42,25,43,25,42,25,42,25,43,22,44,20,43,18,43,18,43,16,41,16,45,17,44,14,45,15,44,12,44,13,45,14,45,13,49,12,49,11,47,10,49,11,60,8,50,13,50,13,48,14,52,16,48,16,49,19,49,19,47,21,46,22,48,22,45,22,42,22,41,23,37,24,39,26,35,27,34,28,32,27,30,29,28,29,26,30,23,30,22,30,20,30,18,31,14,31,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.539,25611,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,1,3,1,4,1,4,1,4,1,4,1,5,1,5,1,5,1,5,0,6,0,6,0,6,0,6,0,7,0,7,0,7,-1,7,-1,8,-1,8,-1,8,-1,8,-2,8,-2,8,-2,8,0,0,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-1,8,-2,8,-1,8,-1,9,-1,8,0,9,0,9,0,9,0,9,0,9,0,9,0,10,0,10,0,10,1,10,1,10,1,11,1,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-17,64,-19,64,-19,65,-16,64,-19,63,-19,62,-21,58,-20,58,-20,58,-22,59,-20,57,-19,56,-21,53,-24,54,-26,50,-27,50,-27,47,-29,48,-28,47,-32,48,-31,48,-32,45,-34,47,-34,46,-33,45,-36,46,-37,46,-41,44,-40,47,-41,46,-42,49,-40,47,-43,49,-39,53,-39,49,-39,54,-35,53,-35,54,-32,54,-31,55,-30,53,-31,51,-30,52,-27,52,-22,52,-21,52,-19,50,-17,50,-14,51,-12,50,-9,48,-5,45,-6,44,-3,44,-2,43,0,42,6,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.590,25617,-45,1,256,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5,0,-5,0,-5,1,-5,1,-5,1,-5,2,-6,2,-6,2,-6,2,-6,3,-6,3,-6,3,-6,3,-6,4,-6,4,-6,5,-7,4,-7,5,-7,5,-7,6,-7,6,-6,6,-6,6,-6,6,-6,0,0,6,-6,6,-6,6,-6,6,-6,6,-6,6,-6,6,-6,6,-6,6,-6,6,-7,6,-7,6,-7,6,-7,6,-7,6,-8,6,-8,6,-8,6,-8,6,-9,6,-9,6,-9,6,-9,6,-9,6,-10,7,-10,6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,-45,-47,-47,-48,-47,-46,-47,-47,-48,-46,-43,-48,-43,-45,-43,-46,-41,-46,-39,-45,-40,-45,-41,-47,-39,-44,-36,-46,-34,-47,-35,-46,-35,-49,-33,-49,-31,-48,-27,-50,-28,-51,-25,-52,-23,-51,-25,-50,-28,-53,-26,-51,-25,-54,-26,-53,-24,-55,-27,-57,-25,-58,-28,-55,-23,-56,-26,-57,-29,-56,-29,-55,-32,-54,-34,-51,-36,-52,-35,-50,-37,-49,-36,-46,-35,-45,-39,-42,-39,-41,-37,-38,-39,-36,-38,-35,-39,-31,-41,-29,-42,-24,-42,-24,-41,-19,-39,-18,-39,-15,-41,-12,-40,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:34:32.620,25624,-46,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-4,-3,-4,-3,-4,-3,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-4,-5,-4,-5,-4,-6,-5,-6,-4,-6,-4,-7,-4,-7,-4,-7,-4,-7,-4,-8,-4,-8,-4,-8,-3,-8,-3,-8,-3,-9,-3,-9,-3,-9,0,0,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-5,-9,-5,-9,-5,-9,-5,-10,-5,-10,-5,-10,-6,-10,-6,-10,-6,-10,-7,-10,-7,-10,-7,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,41,-54,42,-49,40,-53,40,-48,31,-45,29,-46,32,-43,29,-43,31,-41,30,-42,30,-41,30,-40,30,-37,34,-38,32,-37,33,-34,34,-33,34,-32,35,-33,35,-32,34,-32,36,-28,38,-29,38,-29,38,-28,39,-29,41,-29,42,-28,41,-31,43,-31,52,-31,41,-32,44,-31,41,-35,42,-32,41,-35,41,-35,41,-36,39,-38,36,-39,37,-39,34,-38,33,-38,31,-38,28,-40,28,-38,24,-39,24,-38,21,-39,20,-38,18,-38,15,-37,14,-37,11,-37,9,-36,6,-35,3,0,0,0,0,0,0,0,0,0,0
