pc_time,esp_time,rssi,channel,csi_len,cs0,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cs11,cs12,cs13,cs14,cs15,cs16,cs17,cs18,cs19,cs20,cs21,cs22,cs23,cs24,cs25,cs26,cs27,cs28,cs29,cs30,cs31,cs32,cs33,cs34,cs35,cs36,cs37,cs38,cs39,cs40,cs41,cs42,cs43,cs44,cs45,cs46,cs47,cs48,cs49,cs50,cs51,cs52,cs53,cs54,cs55,cs56,cs57,cs58,cs59,cs60,cs61,cs62,cs63,cs64,cs65,cs66,cs67,cs68,cs69,cs70,cs71,cs72,cs73,cs74,cs75,cs76,cs77,cs78,cs79,cs80,cs81,cs82,cs83,cs84,cs85,cs86,cs87,cs88,cs89,cs90,cs91,cs92,cs93,cs94,cs95,cs96,cs97,cs98,cs99,cs100,cs101,cs102,cs103,cs104,cs105,cs106,cs107,cs108,cs109,cs110,cs111,cs112,cs113,cs114,cs115,cs116,cs117,cs118,cs119,cs120,cs121,cs122,cs123,cs124,cs125,cs126,cs127,cs128,cs129,cs130,cs131,cs132,cs133,cs134,cs135,cs136,cs137,cs138,cs139,cs140,cs141,cs142,cs143,cs144,cs145,cs146,cs147,cs148,cs149,cs150,cs151,cs152,cs153,cs154,cs155,cs156,cs157,cs158,cs159,cs160,cs161,cs162,cs163,cs164,cs165,cs166,cs167,cs168,cs169,cs170,cs171,cs172,cs173,cs174,cs175,cs176,cs177,cs178,cs179,cs180,cs181,cs182,cs183,cs184,cs185,cs186,cs187,cs188,cs189,cs190,cs191,cs192,cs193,cs194,cs195,cs196,cs197,cs198,cs199,cs200,cs201,cs202,cs203,cs204,cs205,cs206,cs207,cs208,cs209,cs210,cs211,cs212,cs213,cs214,cs215,cs216,cs217,cs218,cs219,cs220,cs221,cs222,cs223,cs224,cs225,cs226,cs227,cs228,cs229,cs230,cs231,cs232,cs233,cs234,cs235,cs236,cs237,cs238,cs239,cs240,cs241,cs242,cs243,cs244,cs245,cs246,cs247,cs248,cs249,cs250,cs251,cs252,cs253,cs254,cs255
2026-07-09T11:46:40.572,753845,-46,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,-4,1,-4,0,-5,0,-4,0,-5,0,-5,0,-5,0,-5,0,-5,0,-6,0,-6,0,-6,0,-7,-1,-7,-1,-7,-1,-8,-1,-7,-1,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-9,-2,0,0,-9,-3,-8,-3,-9,-4,-8,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-2,-9,-2,-10,-2,-10,-2,-11,-2,-10,-2,-11,-3,-10,-2,-11,-2,-11,-2,-11,-2,-12,-2,-12,-2,-12,-1,-12,-1,-13,-1,-13,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,55,-43,47,-45,55,-47,48,-40,46,-47,49,-40,44,-47,51,-41,44,-41,48,-39,43,-36,48,-38,45,-28,45,-31,44,-30,48,-29,48,-28,48,-30,52,-27,43,-31,53,-23,43,-23,54,-21,50,-20,53,-21,54,-16,51,-18,54,-17,59,-16,58,-18,59,-20,65,-25,54,-30,66,-22,53,-27,61,-25,60,-28,58,-28,61,-33,59,-29,52,-33,52,-35,55,-36,53,-42,54,-39,39,-47,46,-36,38,-41,39,-42,38,-40,34,-43,36,-46,28,-41,28,-43,23,-45,19,-48,16,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:40.609,753849,-47,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-4,0,-5,0,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-6,-1,-6,-2,-6,-2,-6,-2,-6,-2,-7,-2,-7,-3,-7,-3,-7,-3,-7,-3,-7,-4,-7,-4,-8,-4,-8,-4,-8,-4,-8,-4,0,0,-8,-5,-8,-4,-8,-5,-8,-4,-8,-5,-8,-5,-8,-5,-8,-4,-8,-5,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-10,-4,-10,-4,-10,-4,-10,-4,-11,-4,-11,-4,-11,-4,-11,-4,-12,-4,-12,-4,-12,-4,-12,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,64,-20,67,-16,65,-18,64,-18,65,-18,58,-16,65,-16,57,-17,61,-14,56,-14,58,-11,57,-12,57,-9,57,-9,54,-7,55,-6,55,-4,55,-3,54,-2,56,-1,52,-2,54,4,54,6,55,6,55,5,55,7,57,8,57,8,55,8,59,8,59,8,58,10,63,6,59,4,64,5,62,4,65,4,66,2,66,-2,62,-3,65,-6,64,-8,61,-9,60,-11,56,-13,60,-13,56,-17,57,-17,52,-20,51,-20,51,-23,48,-24,45,-27,45,-29,40,-32,36,-32,34,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:40.711,753855,-47,1,256,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-4,0,-4,0,-4,1,-4,1,-5,1,-5,1,-5,1,-5,1,-5,2,-6,2,-6,2,-5,2,-6,2,-6,3,-6,3,-6,3,-6,3,-6,4,-6,4,-6,4,-6,5,-7,5,-7,5,-6,5,-7,0,0,5,-6,5,-7,6,-6,6,-7,5,-7,6,-7,6,-7,6,-7,6,-7,6,-8,5,-8,5,-8,5,-8,5,-8,6,-9,6,-9,6,-9,6,-9,6,-9,6,-10,6,-10,6,-10,6,-10,6,-10,6,-11,7,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,-43,-53,-43,-51,-40,-51,-43,-55,-43,-50,-39,-52,-41,-48,-38,-49,-38,-49,-34,-48,-36,-50,-35,-48,-33,-49,-31,-48,-29,-50,-26,-48,-27,-49,-24,-48,-24,-51,-24,-50,-23,-51,-21,-52,-17,-51,-19,-52,-18,-53,-17,-56,-15,-56,-16,-57,-12,-60,-14,-61,-15,-61,-16,-61,-18,-59,-19,-63,-22,-58,-19,-61,-22,-61,-23,-59,-24,-59,-26,-62,-26,-57,-28,-56,-28,-53,-32,-50,-32,-51,-35,-46,-36,-46,-36,-43,-36,-42,-38,-40,-39,-36,-41,-33,-40,-31,-41,-28,-43,-24,-43,-19,-43,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:40.779,753864,-43,1,256,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,3,-5,3,-5,4,-5,4,-5,4,-5,5,-5,5,-5,5,-5,6,-5,6,-5,7,-5,7,-6,7,-6,8,-6,8,-6,9,-6,9,-6,10,-6,10,-6,10,-6,11,-5,11,-6,11,-5,12,-5,12,-5,0,0,12,-5,12,-5,13,-5,13,-5,13,-5,13,-5,13,-5,13,-5,13,-6,13,-6,13,-6,13,-6,14,-6,14,-7,14,-7,14,-8,14,-8,15,-8,15,-8,15,-9,15,-9,16,-9,16,-10,17,-9,17,-10,17,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-10,3,-10,5,-10,6,-10,6,-10,7,-10,7,-10,9,-9,9,-10,9,-10,10,-10,11,-10,11,-11,12,-11,13,-12,14,-12,15,-12,16,-12,16,-12,17,-13,18,-11,19,-11,20,-12,21,-11,21,-12,21,-11,22,-11,22,-11,0,0,24,-10,23,-10,24,-11,24,-10,24,-11,24,-11,24,-11,24,-12,24,-12,25,-12,25,-13,26,-13,26,-14,26,-14,26,-15,26,-16,27,-17,28,-17,28,-18,29,-18,29,-18,30,-20,30,-19,31,-20,32,-20,31,-21,32,-21,32,-20,0,0,0,0,0,0
2026-07-09T11:46:40.864,753867,-47,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-2,3,-2,2,-3,3,-3,3,-3,3,-3,3,-4,3,-4,3,-4,3,-4,3,-5,3,-5,3,-5,3,-5,3,-6,4,-6,3,-6,4,-6,4,-7,4,-7,3,-7,3,-7,3,-7,3,-7,3,-8,3,0,0,-8,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,4,-8,4,-8,4,-9,4,-8,5,-9,5,-9,5,-9,5,-9,6,-9,6,-9,6,-10,6,-10,6,-10,6,-10,7,-10,7,-10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,57,32,58,34,58,30,59,32,58,33,56,34,54,31,53,30,52,33,52,30,52,31,51,31,49,32,45,35,43,35,43,35,43,36,41,35,43,38,37,40,37,38,37,42,36,39,37,39,38,41,38,43,36,46,35,46,33,49,36,50,34,48,40,49,37,48,39,50,40,48,41,45,44,45,48,42,48,43,48,41,48,42,48,39,47,38,47,33,50,34,49,29,50,26,50,26,51,20,52,18,52,14,51,12,50,10,47,8,49,5,48,-1,47,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:40.914,753874,-47,1,256,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,2,-3,2,-3,2,-3,3,-3,3,-3,3,-3,3,-3,4,-3,4,-3,4,-3,4,-3,5,-3,5,-3,5,-3,5,-3,6,-3,6,-3,6,-3,7,-2,7,-2,7,-2,7,-2,7,-2,7,-2,8,-2,0,0,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,9,-2,9,-3,8,-3,9,-3,9,-3,9,-4,9,-4,10,-4,10,-4,10,-4,10,-4,11,-4,11,-4,11,-4,11,-5,11,-5,11,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,-63,-27,-62,-29,-63,-24,-61,-26,-57,-27,-58,-25,-59,-28,-58,-26,-56,-25,-57,-23,-53,-25,-52,-22,-50,-27,-49,-29,-50,-30,-48,-32,-48,-31,-44,-30,-45,-31,-43,-34,-45,-32,-40,-36,-44,-35,-42,-35,-44,-35,-41,-39,-40,-45,-41,-43,-41,-44,-41,-43,-39,-44,-45,-42,-46,-44,-46,-43,-46,-44,-50,-41,-51,-39,-53,-37,-54,-33,-52,-35,-52,-36,-53,-31,-54,-31,-52,-27,-55,-25,-54,-24,-56,-22,-52,-18,-54,-15,-55,-10,-53,-9,-53,-6,-51,-4,-49,-3,-51,2,-48,6,-47,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:40.969,753879,-46,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,-4,1,-4,0,-4,0,-5,0,-5,0,-5,0,-5,0,-5,0,-6,-1,-6,0,-6,-1,-6,-1,-6,-1,-6,-1,-7,-1,-7,-1,-7,-2,-8,-2,-8,-2,-8,-2,-8,-3,-8,-3,-8,-3,-8,-3,-8,-3,0,0,-8,-3,-9,-3,-8,-3,-9,-3,-9,-3,-9,-4,-9,-3,-9,-3,-9,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-11,-3,-10,-2,-11,-3,-11,-2,-12,-3,-11,-3,-12,-2,-12,-3,-13,-3,-13,-2,-13,-2,-13,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,66,-2,68,1,65,-4,65,0,66,-4,62,-2,66,1,60,0,62,2,57,0,61,1,58,3,57,6,56,4,54,7,54,7,55,10,53,10,52,12,52,12,51,12,53,17,50,17,52,17,52,20,54,19,53,21,55,21,53,22,54,22,54,21,55,22,60,20,57,20,62,20,60,16,62,17,62,15,63,13,62,11,62,8,62,7,61,6,60,0,58,1,61,0,55,-5,59,-6,54,-7,54,-9,54,-11,50,-15,50,-17,48,-20,46,-21,43,-25,38,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:41.050,753884,-46,1,256,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,3,1,3,0,4,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,6,0,6,-1,6,-1,6,-1,6,-1,7,-1,7,-1,7,-2,7,-2,7,-2,7,-2,7,-2,7,0,0,-2,7,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,9,-1,9,-1,9,-1,9,-1,9,-1,10,-1,10,-1,10,-1,11,-1,11,-1,11,-1,11,-1,11,0,12,-1,12,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,7,66,6,66,6,66,9,66,8,63,7,64,5,62,4,60,5,60,4,60,7,59,7,58,5,55,0,56,-2,56,-3,54,-3,54,-7,52,-5,54,-7,54,-8,53,-10,52,-13,54,-12,53,-8,54,-12,54,-14,54,-18,52,-17,56,-17,56,-21,58,-18,57,-22,56,-17,60,-18,61,-16,62,-12,64,-10,63,-8,63,-7,63,-7,62,-7,60,-6,59,-5,58,0,59,0,57,3,58,3,55,7,53,12,52,15,49,16,48,16,44,18,45,18,43,23,38,26,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:41.118,753890,-46,1,256,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-4,2,-4,1,-4,1,-5,1,-4,1,-5,1,-5,1,-5,1,-6,1,-6,1,-6,0,-6,0,-7,0,-7,0,-7,0,-7,0,-8,0,-8,0,-8,-1,-8,-1,-8,-1,-9,-1,-9,-1,-9,-1,-9,-1,0,0,-9,-2,-9,-2,-9,-2,-9,-2,-9,-1,-9,-2,-9,-2,-9,-2,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-11,-1,-11,-1,-11,-1,-11,0,-11,0,-12,0,-12,0,-12,0,-13,0,-13,0,-13,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,68,-12,66,-13,66,-14,66,-12,65,-10,63,-10,64,-11,61,-9,62,-9,59,-13,57,-13,57,-11,57,-7,55,-4,55,-4,55,-4,57,2,56,-1,56,4,52,2,54,4,51,6,55,2,54,2,53,4,55,7,54,10,56,11,56,11,58,13,59,10,62,11,59,11,59,9,63,7,63,2,64,0,64,-5,63,-4,63,-3,61,-1,61,-5,61,-6,61,-10,59,-9,58,-11,55,-16,55,-17,53,-20,50,-23,49,-26,45,-27,44,-27,41,-26,41,-30,39,-34,34,0,0,0,0,0,0,0,0,0,0
2026-07-09T11:46:41.185,753902,-46,1,256,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,3,1,4,0,4,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,6,0,6,-1,6,-1,6,-1,6,-1,6,-1,7,-1,7,-2,7,-2,7,-2,7,-2,7,-2,7,0,0,-2,7,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,8,-2,9,-1,9,-1,9,-1,9,-2,9,-1,9,-1,10,-1,10,-1,10,-1,10,-1,10,-1,11,-1,11,-1,11,-1,11,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,20,63,21,62,18,63,22,64,20,62,19,62,18,61,18,59,16,59,17,56,19,56,19,55,18,55,14,55,12,56,9,54,7,54,4,52,5,53,3,53,4,53,2,54,-2,53,0,53,2,55,0,56,-3,56,-5,57,-7,59,-5,59,-7,61,-3,58,-7,60,-5,64,-4,61,-3,61,2,62,3,62,6,63,6,61,8,61,6,59,8,58,8,56,13,58,13,55,14,55,17,51,19,49,22,47,24,44,27,42,26,41,27,41,27,36,30,31,33,0,0,0,0,0,0,0,0,0,0
